Date,Product_ID,Product_Name,Category,Quantity,Sales_Amount,Actual_Lead_Time,Scheduled_Lead_Time,Year,Month,Day,DayOfWeek,Safety_Stock,Reorder_Point,Predicted_Demand
2018-01-31 22:56:00,1360,Smart watch ,Sporting Goods,1,327.75,3,4,2018,1,31,2,2.5098039215686274,6.0,1.0
2018-01-13 12:27:00,1360,Smart watch ,Sporting Goods,1,327.75,5,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 12:06:00,1360,Smart watch ,Sporting Goods,1,327.75,4,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 11:45:00,1360,Smart watch ,Sporting Goods,1,327.75,3,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 11:24:00,1360,Smart watch ,Sporting Goods,1,327.75,2,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 11:03:00,1360,Smart watch ,Sporting Goods,1,327.75,6,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 10:42:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 10:21:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 10:00:00,1360,Smart watch ,Sporting Goods,1,327.75,3,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 09:39:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 09:18:00,1360,Smart watch ,Sporting Goods,1,327.75,6,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 08:57:00,1360,Smart watch ,Sporting Goods,1,327.75,5,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 08:36:00,1360,Smart watch ,Sporting Goods,1,327.75,4,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 08:15:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 07:54:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 07:33:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 07:12:00,1360,Smart watch ,Sporting Goods,1,327.75,5,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 06:51:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 06:30:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 06:09:00,1360,Smart watch ,Sporting Goods,1,327.75,0,0,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 05:48:00,1360,Smart watch ,Sporting Goods,1,327.75,0,0,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 05:27:00,1360,Smart watch ,Sporting Goods,1,327.75,5,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 05:06:00,1360,Smart watch ,Sporting Goods,1,327.75,4,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 04:45:00,1360,Smart watch ,Sporting Goods,1,327.75,3,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 04:24:00,1360,Smart watch ,Sporting Goods,1,327.75,2,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 04:03:00,1360,Smart watch ,Sporting Goods,1,327.75,6,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 03:42:00,1360,Smart watch ,Sporting Goods,1,327.75,5,2,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 03:21:00,1360,Smart watch ,Sporting Goods,1,327.75,4,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 03:00:00,1360,Smart watch ,Sporting Goods,1,327.75,3,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 02:39:00,1360,Smart watch ,Sporting Goods,1,327.75,2,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 02:18:00,1360,Smart watch ,Sporting Goods,1,327.75,6,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 01:57:00,1360,Smart watch ,Sporting Goods,1,327.75,5,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 01:36:00,1360,Smart watch ,Sporting Goods,1,327.75,4,4,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 01:15:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 00:54:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 00:33:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
2018-01-13 00:12:00,1360,Smart watch ,Sporting Goods,1,327.75,2,1,2018,1,13,5,2.5098039215686274,6.0,1.0
